,holiday,temperature,rain_1h,snow_1h,clouds_percentage,population_density,time,Christmas Day,Columbus Day,Independence Day,Labor Day,Martin Luther King Jr Day,Memorial Day,New Years Day,None,State Fair,Thanksgiving Day,Veterans Day,Washingtons Birthday
20004,None,298.02,0.0,0.0,0,3838,9,0,0,0,0,0,0,0,1,0,0,0,0
35803,None,298.81,0.0,0.0,40,5013,11,0,0,0,0,0,0,0,1,0,0,0,0
24202,None,268.79,0.0,0.0,5,4043,13,0,0,0,0,0,0,0,1,0,0,0,0
25244,None,266.25,0.0,0.0,59,5611,6,0,0,0,0,0,0,0,1,0,0,0,0
19264,None,298.95,0.0,0.0,1,2974,20,0,0,0,0,0,0,0,1,0,0,0,0
10227,None,272.62,0.0,0.0,90,4846,12,0,0,0,0,0,0,0,1,0,0,0,0
35390,None,291.08,0.0,0.0,1,2504,23,0,0,0,0,0,0,0,1,0,0,0,0
36600,None,278.22,0.0,0.0,75,4184,18,0,0,0,0,0,0,0,1,0,0,0,0
15301,None,264.08,0.0,0.0,90,318,4,0,0,0,0,0,0,0,1,0,0,0,0
23367,None,272.49,0.0,0.0,20,3337,20,0,0,0,0,0,0,0,1,0,0,0,0
24735,None,291.94,0.0,0.0,1,1172,1,0,0,0,0,0,0,0,1,0,0,0,0
12707,None,301.29,0.0,0.0,5,3139,20,0,0,0,0,0,0,0,1,0,0,0,0
19578,None,283.22,0.0,0.0,1,2990,22,0,0,0,0,0,0,0,1,0,0,0,0
15925,None,301.32,0.25,0.0,0,5021,18,0,0,0,0,0,0,0,1,0,0,0,0
29562,None,275.69,0.0,0.0,90,1809,20,0,0,0,0,0,0,0,1,0,0,0,0
18328,None,262.95,0.0,0.0,75,5039,9,0,0,0,0,0,0,0,1,0,0,0,0
16623,None,296.54,0.0,0.0,20,4598,8,0,0,0,0,0,0,0,1,0,0,0,0
2002,None,274.69,0.0,0.0,90,2150,21,0,0,0,0,0,0,0,1,0,0,0,0
8937,None,290.6,0.0,0.0,40,816,4,0,0,0,0,0,0,0,1,0,0,0,0
39932,None,299.97,0.0,0.0,75,4093,17,0,0,0,0,0,0,0,1,0,0,0,0
24543,None,259.76,0.0,0.0,90,245,2,0,0,0,0,0,0,0,1,0,0,0,0
21557,None,293.62,0.0,0.0,20,3003,20,0,0,0,0,0,0,0,1,0,0,0,0
32239,None,274.95,0.0,0.0,90,590,0,0,0,0,0,0,0,0,1,0,0,0,0
15573,None,287.04,0.0,0.0,90,2777,20,0,0,0,0,0,0,0,1,0,0,0,0
41340,None,292.61,0.0,0.0,1,4705,10,0,0,0,0,0,0,0,1,0,0,0,0
8843,None,274.86,0.0,0.0,90,3533,11,0,0,0,0,0,0,0,1,0,0,0,0
14636,None,249.8,0.0,0.0,1,2886,9,0,0,0,0,0,0,0,1,0,0,0,0
14097,None,273.37,0.0,0.0,90,4479,18,0,0,0,0,0,0,0,1,0,0,0,0
15860,None,271.41,0.0,0.0,90,5886,8,0,0,0,0,0,0,0,1,0,0,0,0
35034,None,274.75,0.0,0.0,90,3887,16,0,0,0,0,0,0,0,1,0,0,0,0
28494,None,298.07,0.0,0.0,40,4883,18,0,0,0,0,0,0,0,1,0,0,0,0
14426,None,284.22,0.0,0.0,75,4753,16,0,0,0,0,0,0,0,1,0,0,0,0
13848,None,300.88,0.0,0.0,5,4037,12,0,0,0,0,0,0,0,1,0,0,0,0
13711,None,274.55,0.0,0.0,90,1194,8,0,0,0,0,0,0,0,1,0,0,0,0
13502,None,290.57,0.0,0.0,90,5094,9,0,0,0,0,0,0,0,1,0,0,0,0
14347,None,296.36,0.0,0.0,32,4505,12,0,0,0,0,0,0,0,1,0,0,0,0
35384,None,269.44,0.0,0.0,1,578,0,0,0,0,0,0,0,0,1,0,0,0,0
17085,None,284.72,0.3,0.0,1,902,4,0,0,0,0,0,0,0,1,0,0,0,0
35635,None,277.79,0.0,0.0,1,4590,17,0,0,0,0,0,0,0,1,0,0,0,0
36222,None,292.08,0.0,0.0,0,6405,7,0,0,0,0,0,0,0,1,0,0,0,0
6405,None,253.9,0.0,0.0,75,2971,19,0,0,0,0,0,0,0,1,0,0,0,0
10133,None,276.88,0.0,0.0,20,6034,17,0,0,0,0,0,0,0,1,0,0,0,0
23208,None,263.9,0.0,0.0,90,415,0,0,0,0,0,0,0,0,1,0,0,0,0
14992,None,275.72,0.0,0.0,90,2586,21,0,0,0,0,0,0,0,1,0,0,0,0
9500,None,278.75,0.0,0.0,90,3973,18,0,0,0,0,0,0,0,1,0,0,0,0
15716,None,276.67,0.0,0.0,75,3945,18,0,0,0,0,0,0,0,1,0,0,0,0
40261,None,261.82,0.0,0.0,90,5705,7,0,0,0,0,0,0,0,1,0,0,0,0
27989,None,269.79,0.0,0.0,90,1881,15,0,0,0,0,0,0,0,1,0,0,0,0
28588,None,286.5,0.0,0.0,1,3407,8,0,0,0,0,0,0,0,1,0,0,0,0
42135,None,276.793,0.0,0.0,64,544,2,0,0,0,0,0,0,0,1,0,0,0,0
40318,None,258.08,0.0,0.0,5,4708,13,0,0,0,0,0,0,0,1,0,0,0,0
21084,None,271.01,0.0,0.0,1,602,0,0,0,0,0,0,0,0,1,0,0,0,0
26968,None,289.66,0.0,0.0,90,4523,12,0,0,0,0,0,0,0,1,0,0,0,0
8056,None,266.43,0.0,0.0,5,5363,14,0,0,0,0,0,0,0,1,0,0,0,0
32151,None,266.92,0.0,0.0,90,511,0,0,0,0,0,0,0,0,1,0,0,0,0
28012,None,292.01,0.0,0.0,90,5853,7,0,0,0,0,0,0,0,1,0,0,0,0
16641,None,280.47,0.0,0.0,1,449,3,0,0,0,0,0,0,0,1,0,0,0,0
24650,None,271.15,0.0,0.0,90,1957,22,0,0,0,0,0,0,0,1,0,0,0,0
16464,None,268.22,0.0,0.0,90,6803,7,0,0,0,0,0,0,0,1,0,0,0,0
31423,None,254.14,0.0,0.0,1,4456,13,0,0,0,0,0,0,0,1,0,0,0,0
22557,None,279.69,0.0,0.0,40,6166,8,0,0,0,0,0,0,0,1,0,0,0,0
335,None,274.7,0.0,0.0,40,5584,8,0,0,0,0,0,0,0,1,0,0,0,0
17399,None,275.95,0.0,0.0,90,2711,5,0,0,0,0,0,0,0,1,0,0,0,0
23794,None,293.16,0.51,0.0,90,5732,8,0,0,0,0,0,0,0,1,0,0,0,0
35500,None,296.9,0.0,0.0,75,1179,0,0,0,0,0,0,0,0,1,0,0,0,0
5768,None,294.67,0.0,0.0,1,4426,18,0,0,0,0,0,0,0,1,0,0,0,0
35100,None,293.24,0.0,0.0,1,4738,10,0,0,0,0,0,0,0,1,0,0,0,0
9567,None,291.51,0.0,0.0,90,693,0,0,0,0,0,0,0,0,1,0,0,0,0
15642,None,273.42,0.0,0.0,90,4950,13,0,0,0,0,0,0,0,1,0,0,0,0
