,holiday,temperature,rain_1h,snow_1h,clouds_percentage,population_density,time,Christmas Day,Columbus Day,Independence Day,Labor Day,Martin Luther King Jr Day,Memorial Day,New Years Day,None,State Fair,Thanksgiving Day,Veterans Day,Washingtons Birthday
18003,None,293.88,0.0,0.0,75,4875,15,0,0,0,0,0,0,0,1,0,0,0,0
27489,None,285.51,0.0,0.0,90,543,0,0,0,0,0,0,0,0,1,0,0,0,0
2898,None,301.94,0.0,0.0,40,6197,17,0,0,0,0,0,0,0,1,0,0,0,0
39507,None,255.93,0.0,0.0,90,2470,20,0,0,0,0,0,0,0,1,0,0,0,0
24088,None,290.19,0.0,0.0,1,2327,23,0,0,0,0,0,0,0,1,0,0,0,0
11707,None,271.74,0.0,0.0,90,4208,17,0,0,0,0,0,0,0,1,0,0,0,0
33946,None,281.22,0.0,0.0,1,379,1,0,0,0,0,0,0,0,1,0,0,0,0
16589,None,273.68,0.0,0.0,90,834,4,0,0,0,0,0,0,0,1,0,0,0,0
20405,None,298.51,0.0,0.0,76,4198,13,0,0,0,0,0,0,0,1,0,0,0,0
40793,None,283.216,0.0,0.0,20,4688,15,0,0,0,0,0,0,0,1,0,0,0,0
16288,None,296.9,0.0,0.0,40,4117,17,0,0,0,0,0,0,0,1,0,0,0,0
24548,None,271.8,0.0,0.0,90,4700,18,0,0,0,0,0,0,0,1,0,0,0,0
9765,None,292.22,0.0,0.0,40,5582,8,0,0,0,0,0,0,0,1,0,0,0,0
26689,None,277.31,0.0,0.0,90,2101,22,0,0,0,0,0,0,0,1,0,0,0,0
5188,None,272.47,0.0,0.0,8,394,3,0,0,0,0,0,0,0,1,0,0,0,0
20647,None,261.43,0.0,0.0,64,2219,20,0,0,0,0,0,0,0,1,0,0,0,0
181,None,285.08,4.29,0.0,75,333,1,0,0,0,0,0,0,0,1,0,0,0,0
31299,None,293.14,0.0,0.0,12,3258,21,0,0,0,0,0,0,0,1,0,0,0,0
37531,None,289.88,0.0,0.0,1,2103,23,0,0,0,0,0,0,0,1,0,0,0,0
19026,None,283.43,0.0,0.0,90,2644,20,0,0,0,0,0,0,0,1,0,0,0,0
1046,None,272.15,0.0,0.0,1,2995,19,0,0,0,0,0,0,0,1,0,0,0,0
28507,None,265.46,0.0,0.0,75,5281,7,0,0,0,0,0,0,0,1,0,0,0,0
18227,None,291.13,0.0,0.0,40,678,0,0,0,0,0,0,0,0,1,0,0,0,0
12874,None,286.88,0.0,0.0,1,541,5,0,0,0,0,0,0,0,1,0,0,0,0
12285,None,250.9,0.0,0.0,75,3197,15,0,0,0,0,0,0,0,1,0,0,0,0
39291,None,291.52,1.49,0.0,90,816,1,0,0,0,0,0,0,0,1,0,0,0,0
7504,None,265.33,0.0,0.0,90,5297,15,0,0,0,0,0,0,0,1,0,0,0,0
36069,None,267.92,0.0,0.0,90,198,2,0,0,0,0,0,0,0,1,0,0,0,0
6222,None,287.71,1.44,0.0,92,5162,14,0,0,0,0,0,0,0,1,0,0,0,0
19680,None,278.97,0.0,0.0,90,4717,18,0,0,0,0,0,0,0,1,0,0,0,0
38547,None,271.13,0.0,0.0,90,366,4,0,0,0,0,0,0,0,1,0,0,0,0
27042,None,290.87,0.0,0.0,20,3013,5,0,0,0,0,0,0,0,1,0,0,0,0
40934,None,275.61,0.0,0.0,90,4614,17,0,0,0,0,0,0,0,1,0,0,0,0
429,None,284.66,0.0,0.0,56,3984,19,0,0,0,0,0,0,0,1,0,0,0,0
13330,None,286.13,0.0,0.0,75,3711,7,0,0,0,0,0,0,0,1,0,0,0,0
40682,None,287.91,0.0,0.0,1,2954,5,0,0,0,0,0,0,0,1,0,0,0,0
12074,None,300.33,0.0,0.0,1,627,0,0,0,0,0,0,0,0,1,0,0,0,0
38959,None,274.95,0.0,0.0,90,3404,10,0,0,0,0,0,0,0,1,0,0,0,0
8322,None,274.35,0.0,0.0,90,4902,14,0,0,0,0,0,0,0,1,0,0,0,0
20109,None,258.28,0.0,0.0,90,3651,7,0,0,0,0,0,0,0,1,0,0,0,0
23461,None,290.34,0.0,0.0,75,438,1,0,0,0,0,0,0,0,1,0,0,0,0
8,None,272.89,0.0,0.0,1,2100,7,0,0,0,0,0,0,0,1,0,0,0,0
3304,None,300.61,0.0,0.0,1,3996,10,0,0,0,0,0,0,0,1,0,0,0,0
15156,None,290.32,0.0,0.0,1,283,2,0,0,0,0,0,0,0,1,0,0,0,0
21585,None,294.46,0.0,0.0,90,3907,11,0,0,0,0,0,0,0,1,0,0,0,0
5493,None,290.88,0.0,0.0,20,842,4,0,0,0,0,0,0,0,1,0,0,0,0
37972,None,300.74,0.0,0.0,75,4416,19,0,0,0,0,0,0,0,1,0,0,0,0
252,None,260.36,0.0,0.0,40,2736,20,0,0,0,0,0,0,0,1,0,0,0,0
18759,None,271.01,0.0,0.0,1,2261,22,0,0,0,0,0,0,0,1,0,0,0,0
12527,None,278.28,0.0,0.0,90,310,2,0,0,0,0,0,0,0,1,0,0,0,0
9074,None,292.02,27.57,0.0,90,492,0,0,0,0,0,0,0,0,1,0,0,0,0
4543,None,288.18,0.25,0.0,90,867,4,0,0,0,0,0,0,0,1,0,0,0,0
36905,None,285.77,0.0,0.0,1,955,5,0,0,0,0,0,0,0,1,0,0,0,0
26288,None,275.05,0.0,0.0,90,3205,18,0,0,0,0,0,0,0,1,0,0,0,0
37075,None,274.42,0.0,0.0,90,5582,7,0,0,0,0,0,0,0,1,0,0,0,0
30684,None,295.21,0.0,0.0,20,4330,17,0,0,0,0,0,0,0,1,0,0,0,0
9819,None,293.75,0.0,0.0,90,936,4,0,0,0,0,0,0,0,1,0,0,0,0
21189,None,280.41,0.0,0.0,40,4327,22,0,0,0,0,0,0,0,1,0,0,0,0
41746,None,272.55,0.0,0.0,90,2728,22,0,0,0,0,0,0,0,1,0,0,0,0
27425,None,263.62,0.0,0.0,64,308,3,0,0,0,0,0,0,0,1,0,0,0,0
28821,None,286.36,0.0,0.0,90,4433,13,0,0,0,0,0,0,0,1,0,0,0,0
19240,None,291.43,0.86,0.0,75,5876,8,0,0,0,0,0,0,0,1,0,0,0,0
29389,None,278.27,0.0,0.0,90,2430,5,0,0,0,0,0,0,0,1,0,0,0,0
41261,None,282.08,0.0,0.0,40,1435,7,0,0,0,0,0,0,0,1,0,0,0,0
36341,None,286.48,0.0,0.0,40,5480,13,0,0,0,0,0,0,0,1,0,0,0,0
18286,None,299.69,0.0,0.0,1,4530,10,0,0,0,0,0,0,0,1,0,0,0,0
30955,None,273.79,0.0,0.0,90,4626,10,0,0,0,0,0,0,0,1,0,0,0,0
24787,None,273.37,0.0,0.0,75,2213,21,0,0,0,0,0,0,0,1,0,0,0,0
2995,None,279.41,0.0,0.0,75,6199,15,0,0,0,0,0,0,0,1,0,0,0,0
27310,None,250.86,0.0,0.0,1,245,2,0,0,0,0,0,0,0,1,0,0,0,0
3866,None,267.21,0.0,0.0,1,5649,6,0,0,0,0,0,0,0,1,0,0,0,0
35686,None,269.59,0.0,0.0,75,3649,12,0,0,0,0,0,0,0,1,0,0,0,0
2906,None,291.15,0.0,0.0,1,872,4,0,0,0,0,0,0,0,1,0,0,0,0
14479,None,295.88,1.02,0.0,40,3612,19,0,0,0,0,0,0,0,1,0,0,0,0
21428,None,286.72,0.0,0.0,40,662,2,0,0,0,0,0,0,0,1,0,0,0,0
36919,None,261.15,0.0,0.0,40,5278,8,0,0,0,0,0,0,0,1,0,0,0,0
42312,None,254.55,0.0,0.0,1,303,1,0,0,0,0,0,0,0,1,0,0,0,0
21867,None,290.53,0.51,0.0,90,2514,20,0,0,0,0,0,0,0,1,0,0,0,0
17540,None,288.56,0.0,0.0,8,2043,7,0,0,0,0,0,0,0,1,0,0,0,0
15033,None,289.37,0.0,0.0,0,851,4,0,0,0,0,0,0,0,1,0,0,0,0
7303,None,290.49,0.0,0.0,40,5789,15,0,0,0,0,0,0,0,1,0,0,0,0
39240,None,289.95,0.0,0.0,20,5236,13,0,0,0,0,0,0,0,1,0,0,0,0
5897,None,282.09,0.0,0.0,90,349,1,0,0,0,0,0,0,0,1,0,0,0,0
6917,None,291.48,0.0,0.0,40,2755,20,0,0,0,0,0,0,0,1,0,0,0,0
28400,None,288.25,0.0,0.0,1,5157,12,0,0,0,0,0,0,0,1,0,0,0,0
3292,None,297.68,0.0,0.0,0,2928,20,0,0,0,0,0,0,0,1,0,0,0,0
40734,None,287.83,0.0,0.0,1,5815,8,0,0,0,0,0,0,0,1,0,0,0,0
27519,None,294.17,0.0,0.0,64,3153,21,0,0,0,0,0,0,0,1,0,0,0,0
17770,None,293.34,0.0,0.0,5,5908,8,0,0,0,0,0,0,0,1,0,0,0,0
3688,None,281.54,0.0,0.0,1,5541,13,0,0,0,0,0,0,0,1,0,0,0,0
12928,None,271.51,0.0,0.0,5,3073,19,0,0,0,0,0,0,0,1,0,0,0,0
1492,None,291.98,0.0,0.0,1,4763,18,0,0,0,0,0,0,0,1,0,0,0,0
21000,None,274.15,0.0,0.0,90,316,4,0,0,0,0,0,0,0,1,0,0,0,0
41148,None,294.65,0.0,0.0,1,344,1,0,0,0,0,0,0,0,1,0,0,0,0
5830,None,270.29,0.0,0.0,75,3938,11,0,0,0,0,0,0,0,1,0,0,0,0
705,None,269.03,0.0,0.0,1,2937,22,0,0,0,0,0,0,0,1,0,0,0,0
18358,None,262.78,0.0,0.0,1,2693,9,0,0,0,0,0,0,0,1,0,0,0,0
39326,None,294.06,0.0,0.0,1,1181,23,0,0,0,0,0,0,0,1,0,0,0,0
36814,None,292.09,0.0,0.0,1,337,3,0,0,0,0,0,0,0,1,0,0,0,0
36436,None,284.08,0.0,0.0,90,4802,9,0,0,0,0,0,0,0,1,0,0,0,0
4295,None,283.15,0.0,0.0,75,223,2,0,0,0,0,0,0,0,1,0,0,0,0
26871,None,287.07,0.0,0.0,20,829,6,0,0,0,0,0,0,0,1,0,0,0,0
32357,None,273.27,0.0,0.0,40,2640,21,0,0,0,0,0,0,0,1,0,0,0,0
1035,None,283.89,0.0,0.0,1,788,2,0,0,0,0,0,0,0,1,0,0,0,0
1261,None,296.37,0.0,0.0,40,2727,20,0,0,0,0,0,0,0,1,0,0,0,0
36877,None,285.96,0.0,0.0,90,3390,9,0,0,0,0,0,0,0,1,0,0,0,0
18018,None,253.82,0.0,0.0,75,899,23,0,0,0,0,0,0,0,1,0,0,0,0
9880,None,299.04,0.0,0.0,75,2230,12,0,0,0,0,0,0,0,1,0,0,0,0
37601,None,270.75,0.0,0.0,90,693,0,0,0,0,0,0,0,0,1,0,0,0,0
40612,None,293.61,0.0,0.0,90,4711,13,0,0,0,0,0,0,0,1,0,0,0,0
28586,None,287.4,0.0,0.0,90,1005,23,0,0,0,0,0,0,0,1,0,0,0,0
43309,None,271.01,0.0,0.0,40,307,3,0,0,0,0,0,0,0,1,0,0,0,0
6954,None,296.49,0.0,0.0,80,5631,15,0,0,0,0,0,0,0,1,0,0,0,0
22102,None,292.75,0.0,0.0,75,5629,8,0,0,0,0,0,0,0,1,0,0,0,0
15499,None,289.54,2.03,0.0,92,2996,5,0,0,0,0,0,0,0,1,0,0,0,0
38198,None,305.6,0.0,0.0,0,5289,17,0,0,0,0,0,0,0,1,0,0,0,0
24443,None,295.5,0.0,0.0,1,3128,20,0,0,0,0,0,0,0,1,0,0,0,0
21337,None,279.08,0.0,0.0,90,5023,11,0,0,0,0,0,0,0,1,0,0,0,0
36254,None,275.09,0.0,0.0,90,2336,22,0,0,0,0,0,0,0,1,0,0,0,0
13297,None,296.85,0.0,0.0,1,4926,14,0,0,0,0,0,0,0,1,0,0,0,0
254,None,275.39,0.0,0.0,90,4665,10,0,0,0,0,0,0,0,1,0,0,0,0
13293,None,301.51,0.0,0.0,40,3790,11,0,0,0,0,0,0,0,1,0,0,0,0
32893,None,296.43,0.0,0.0,40,6483,17,0,0,0,0,0,0,0,1,0,0,0,0
30222,None,273.87,0.0,0.0,75,2804,9,0,0,0,0,0,0,0,1,0,0,0,0
9313,None,274.09,0.0,0.0,90,2017,22,0,0,0,0,0,0,0,1,0,0,0,0
28491,None,299.45,0.0,0.0,75,4683,18,0,0,0,0,0,0,0,1,0,0,0,0
41150,None,266.03,0.0,0.0,64,5685,8,0,0,0,0,0,0,0,1,0,0,0,0
25182,None,276.1,0.0,0.0,75,649,0,0,0,0,0,0,0,0,1,0,0,0,0
31037,None,288.95,0.25,0.0,90,912,6,0,0,0,0,0,0,0,1,0,0,0,0
9208,None,273.24,0.0,0.0,90,2866,21,0,0,0,0,0,0,0,1,0,0,0,0
9038,None,271.12,0.0,0.0,1,751,0,0,0,0,0,0,0,0,1,0,0,0,0
4781,None,285.8,0.0,0.0,90,5888,15,0,0,0,0,0,0,0,1,0,0,0,0
42577,None,287.73,0.0,0.0,40,5721,15,0,0,0,0,0,0,0,1,0,0,0,0
12502,None,272.29,0.0,0.0,90,982,4,0,0,0,0,0,0,0,1,0,0,0,0
37768,None,296.5,0.0,0.0,1,1412,0,0,0,0,0,0,0,0,1,0,0,0,0
4705,None,266.29,0.0,0.0,90,1593,21,0,0,0,0,0,0,0,1,0,0,0,0
5692,None,288.47,0.0,0.0,0,896,2,0,0,0,0,0,0,0,1,0,0,0,0
39936,None,281.71,0.0,0.0,90,358,3,0,0,0,0,0,0,0,1,0,0,0,0
37001,None,293.64,1.45,0.0,90,2105,21,0,0,0,0,0,0,0,1,0,0,0,0
21371,None,280.09,0.0,0.0,1,805,4,0,0,0,0,0,0,0,1,0,0,0,0
27052,None,277.572,0.0,0.0,0,2610,22,0,0,0,0,0,0,0,1,0,0,0,0
7909,None,270.96,0.0,0.0,1,645,0,0,0,0,0,0,0,0,1,0,0,0,0
5097,None,264.77,0.0,0.0,75,5725,16,0,0,0,0,0,0,0,1,0,0,0,0
16640,None,286.51,0.0,0.0,90,4165,19,0,0,0,0,0,0,0,1,0,0,0,0
24988,None,282.63,0.25,0.0,1,414,3,0,0,0,0,0,0,0,1,0,0,0,0
503,None,286.58,0.6,0.0,80,425,3,0,0,0,0,0,0,0,1,0,0,0,0
4111,None,300.29,0.0,0.0,1,3488,10,0,0,0,0,0,0,0,1,0,0,0,0
5348,None,283.43,0.0,0.0,90,676,0,0,0,0,0,0,0,0,1,0,0,0,0
36723,None,294.15,0.0,0.0,1,3525,19,0,0,0,0,0,0,0,1,0,0,0,0
19188,None,300.05,0.0,0.0,40,3446,20,0,0,0,0,0,0,0,1,0,0,0,0
38701,None,299.49,0.0,0.0,1,3462,19,0,0,0,0,0,0,0,1,0,0,0,0
29953,None,292.22,0.0,0.0,40,2043,8,0,0,0,0,0,0,0,1,0,0,0,0
32666,None,259.69,0.0,0.0,90,4269,16,0,0,0,0,0,0,0,1,0,0,0,0
42646,None,255.37,0.0,0.0,90,334,3,0,0,0,0,0,0,0,1,0,0,0,0
18950,None,293.42,0.0,0.0,1,458,1,0,0,0,0,0,0,0,1,0,0,0,0
8552,None,286.48,0.0,0.0,20,5142,11,0,0,0,0,0,0,0,1,0,0,0,0
16597,None,267.76,0.0,0.0,1,4749,12,0,0,0,0,0,0,0,1,0,0,0,0
10557,None,299.18,0.0,0.0,75,4592,11,0,0,0,0,0,0,0,1,0,0,0,0
34705,None,252.09,0.0,0.0,1,3429,20,0,0,0,0,0,0,0,1,0,0,0,0
26204,None,260.57,0.0,0.0,90,2620,5,0,0,0,0,0,0,0,1,0,0,0,0
30982,None,253.01,0.0,0.0,1,839,23,0,0,0,0,0,0,0,1,0,0,0,0
28027,None,289.72,0.0,0.0,1,2811,5,0,0,0,0,0,0,0,1,0,0,0,0
17635,None,268.44,0.0,0.0,20,5147,15,0,0,0,0,0,0,0,1,0,0,0,0
30138,None,274.02,0.0,0.0,90,1818,9,0,0,0,0,0,0,0,1,0,0,0,0
13547,None,291.86,0.0,0.0,5,2855,9,0,0,0,0,0,0,0,1,0,0,0,0
37610,None,276.73,0.0,0.0,1,554,2,0,0,0,0,0,0,0,1,0,0,0,0
37420,None,266.42,0.0,0.0,90,367,3,0,0,0,0,0,0,0,1,0,0,0,0
29048,None,287.36,0.0,0.0,90,1103,6,0,0,0,0,0,0,0,1,0,0,0,0
39526,None,295.83,0.0,0.0,1,4533,18,0,0,0,0,0,0,0,1,0,0,0,0
17154,None,291.42,0.0,0.0,36,5063,9,0,0,0,0,0,0,0,1,0,0,0,0
39870,None,264.63,0.0,0.0,1,2149,23,0,0,0,0,0,0,0,1,0,0,0,0
29346,None,280.56,0.0,0.0,46,6124,16,0,0,0,0,0,0,0,1,0,0,0,0
27086,None,291.77,0.0,0.0,1,5031,8,0,0,0,0,0,0,0,1,0,0,0,0
21139,None,300.04,0.0,0.0,8,5430,17,0,0,0,0,0,0,0,1,0,0,0,0
33372,None,280.83,0.0,0.0,1,6057,6,0,0,0,0,0,0,0,1,0,0,0,0
30031,None,282.33,0.0,0.0,75,927,23,0,0,0,0,0,0,0,1,0,0,0,0
40648,None,295.95,0.0,0.0,76,3748,10,0,0,0,0,0,0,0,1,0,0,0,0
42061,None,286.02,0.0,0.0,1,5171,9,0,0,0,0,0,0,0,1,0,0,0,0
12384,None,297.14,0.0,0.0,1,3291,21,0,0,0,0,0,0,0,1,0,0,0,0
2280,None,250.29,0.0,0.0,5,3203,7,0,0,0,0,0,0,0,1,0,0,0,0
11087,None,279.07,0.0,0.0,0,6193,7,0,0,0,0,0,0,0,1,0,0,0,0
27187,None,260.0,0.0,0.0,100,5330,8,0,0,0,0,0,0,0,1,0,0,0,0
4201,None,275.72,0.0,0.0,75,5426,6,0,0,0,0,0,0,0,1,0,0,0,0
