,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
15135,None,290.91,0.0,0.0,8,Clear,sky is clear,6/22/2014 5:00,658,very low
6275,None,287.09,0.0,0.0,90,Mist,mist,5/22/2013 7:00,6880,very high
34134,None,286.15,0.0,0.0,90,Rain,light rain,5/30/2017 13:00,4866,high
17483,None,290.52,2.05,0.0,90,Drizzle,light intensity drizzle,8/18/2015 11:00,4677,high
28589,None,283.82,0.0,0.0,90,Thunderstorm,proximity thunderstorm,11/28/2016 9:00,4477,high
27595,None,279.226,0.0,0.0,92,Rain,moderate rain,10/26/2016 3:00,326,very low
43722,None,289.34,0.0,0.0,40,Clouds,scattered clouds,5/1/2018 10:00,4468,high
34858,None,293.48,0.0,0.0,20,Clouds,few clouds,6/26/2017 20:00,2836,low
12845,None,278.41,0.0,0.0,75,Clouds,broken clouds,3/11/2014 17:00,6120,very high
32505,None,289.1,0.0,0.0,90,Rain,moderate rain,4/9/2017 19:00,3319,medium
5235,None,277.26,0.0,0.0,90,Clouds,overcast clouds,4/18/2013 17:00,3618,medium
16310,None,293.98,15.41,0.0,90,Mist,mist,7/6/2015 6:00,4487,high
3478,None,271.14,0.0,0.0,90,Haze,haze,2/10/2013 11:00,2177,low
7951,None,298.19,0.0,0.0,0,Rain,light rain,7/26/2013 14:00,5863,very high
24138,None,299.0,0.0,0.0,0,Clear,Sky is Clear,6/12/2016 16:00,4543,high
31291,None,264.41,0.0,0.0,5,Clear,sky is clear,2/25/2017 9:00,3861,medium
10355,None,274.3,1.27,0.0,64,Snow,light rain and snow,12/3/2013 13:00,4739,high
46011,None,291.35,0.0,0.0,90,Rain,moderate rain,7/20/2018 6:00,5266,high
41833,None,269.82,0.0,0.0,90,Mist,mist,2/25/2018 0:00,779,very low
24798,None,288.78,0.0,0.0,1,Fog,fog,7/9/2016 3:00,508,very low
35259,None,301.44,0.0,0.0,1,Clear,sky is clear,7/11/2017 16:00,6319,very high
34971,None,295.77,0.0,0.0,75,Clouds,broken clouds,6/30/2017 12:00,5229,high
39840,None,266.51,0.0,0.0,90,Mist,mist,12/17/2017 3:00,391,very low
29225,None,257.75,0.0,0.0,75,Snow,light snow,12/17/2016 9:00,1833,low
31294,None,270.08,0.0,0.0,20,Clouds,few clouds,2/25/2017 12:00,5280,high
12099,None,260.9,0.0,0.0,90,Clouds,overcast clouds,2/8/2014 12:00,4694,high
21207,None,261.69,0.0,0.0,90,Clouds,overcast clouds,2/10/2016 16:00,6671,very high
28538,None,273.95,0.0,0.0,90,Fog,fog,11/27/2016 11:00,3215,medium
34352,None,296.88,0.0,0.0,20,Clouds,few clouds,6/8/2017 11:00,4794,high
