holiday,temperature,rain_1h,snow_1h,clouds_percentage,population_density_categorical,time,Christmas Day,Columbus Day,Independence Day,Labor Day,Martin Luther King Jr Day,Memorial Day,New Years Day,None,State Fair,Thanksgiving Day,Veterans Day,Washingtons Birthday
None,285.89,0.0,0.0,1,low,22,0,0,0,0,0,0,0,1,0,0,0,0
None,286.76,0.0,0.0,40,medium,10,0,0,0,0,0,0,0,1,0,0,0,0
None,287.08,0.0,0.0,1,high,9,0,0,0,0,0,0,0,1,0,0,0,0
None,265.01,0.0,0.0,64,very low,23,0,0,0,0,0,0,0,1,0,0,0,0
None,298.55,0.0,0.0,1,high,11,0,0,0,0,0,0,0,1,0,0,0,0
None,275.96,0.0,0.0,90,medium,9,0,0,0,0,0,0,0,1,0,0,0,0
None,291.15,0.0,0.0,1,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
None,274.08,0.0,0.0,90,high,15,0,0,0,0,0,0,0,1,0,0,0,0
None,277.36,0.0,0.0,90,very high,17,0,0,0,0,0,0,0,1,0,0,0,0
None,276.07,0.0,0.0,56,low,5,0,0,0,0,0,0,0,1,0,0,0,0
None,270.15,0.0,0.0,90,very low,23,0,0,0,0,0,0,0,1,0,0,0,0
None,247.84,0.0,0.0,5,very low,7,0,0,0,0,0,0,0,1,0,0,0,0
None,259.77,0.0,0.0,90,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
None,263.75,0.0,0.0,1,medium,12,0,0,0,0,0,0,0,1,0,0,0,0
None,275.39,0.0,0.0,90,high,17,0,0,0,0,0,0,0,1,0,0,0,0
None,294.15,0.0,0.0,1,medium,16,0,0,0,0,0,0,0,1,0,0,0,0
None,267.57,0.0,0.0,90,very low,4,0,0,0,0,0,0,0,1,0,0,0,0
None,284.85,0.0,0.0,75,high,6,0,0,0,0,0,0,0,1,0,0,0,0
None,287.87,0.0,0.0,1,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
None,295.02,0.0,0.0,1,high,11,0,0,0,0,0,0,0,1,0,0,0,0
None,276.68,0.0,0.0,75,very low,6,0,0,0,0,0,0,0,1,0,0,0,0
None,273.86,0.0,0.0,90,very high,8,0,0,0,0,0,0,0,1,0,0,0,0
None,291.15,0.0,0.0,90,high,8,0,0,0,0,0,0,0,1,0,0,0,0
None,263.93,0.0,0.0,90,high,9,0,0,0,0,0,0,0,1,0,0,0,0
None,270.74,0.0,0.0,90,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
None,266.4,0.0,0.0,90,medium,16,0,0,0,0,0,0,0,1,0,0,0,0
None,292.22,0.0,0.0,40,very low,2,0,0,0,0,0,0,0,1,0,0,0,0
None,276.04,0.0,0.0,64,medium,19,0,0,0,0,0,0,0,1,0,0,0,0
