,holiday,temperature,rain_1h,snow_1h,clouds_percentage,population_density_categorical,time,Christmas Day,Columbus Day,Independence Day,Labor Day,Martin Luther King Jr Day,Memorial Day,New Years Day,None,State Fair,Thanksgiving Day,Veterans Day,Washingtons Birthday
24284,None,275.42,0.0,0.0,90,low,5,0,0,0,0,0,0,0,1,0,0,0,0
17940,None,291.94,0.0,0.0,90,very high,8,0,0,0,0,0,0,0,1,0,0,0,0
16680,None,296.4,0.0,0.0,90,low,19,0,0,0,0,0,0,0,1,0,0,0,0
32824,None,297.34,0.0,0.0,90,medium,17,0,0,0,0,0,0,0,1,0,0,0,0
16036,None,281.11,0.0,0.0,90,medium,16,0,0,0,0,0,0,0,1,0,0,0,0
5561,None,289.68,0.0,0.0,1,high,6,0,0,0,0,0,0,0,1,0,0,0,0
28234,None,270.59,0.0,0.0,90,low,21,0,0,0,0,0,0,0,1,0,0,0,0
28447,None,280.28,0.0,0.0,90,low,8,0,0,0,0,0,0,0,1,0,0,0,0
11979,None,289.19,0.0,0.0,90,high,12,0,0,0,0,0,0,0,1,0,0,0,0
31166,None,295.29,0.0,0.0,90,high,13,0,0,0,0,0,0,0,1,0,0,0,0
40626,None,297.33,0.0,0.0,40,high,10,0,0,0,0,0,0,0,1,0,0,0,0
25160,None,306.61,0.0,0.0,20,very high,16,0,0,0,0,0,0,0,1,0,0,0,0
37294,None,293.75,0.0,0.0,36,low,20,0,0,0,0,0,0,0,1,0,0,0,0
2931,None,265.01,0.0,0.0,1,very low,23,0,0,0,0,0,0,0,1,0,0,0,0
25790,None,286.42,0.0,0.0,1,very low,3,0,0,0,0,0,0,0,1,0,0,0,0
42466,None,295.26,0.0,0.0,88,very low,23,0,0,0,0,0,0,0,1,0,0,0,0
194,None,257.42,0.0,0.0,90,very low,1,0,0,0,0,0,0,0,1,0,0,0,0
33564,None,274.77,0.0,0.0,90,very low,5,0,0,0,0,0,0,0,1,0,0,0,0
32798,None,276.61,0.0,0.0,1,medium,9,0,0,0,0,0,0,0,1,0,0,0,0
